x	y	tooltip
0.884615384615385	0.954545454545455	Add simplify ar
0.884615384615385	0.237491130827969	Add simplify ar
0.884615384615385	0.174151430520629	Add simplify ar
0.692307692307692	0.836730570228013	News tweaking
0.692307692307692	0.148498339765488	News tweaking
0.692307692307692	0.160683945851959	News tweaking
0.5	0.822971326269448	Style tweaks to
0.5	0.0749967254675443	Style tweaks to
0.5	0.0454545454545454	Style tweaks to
0.307692307692308	0.762195383126505	Tweaking test s
0.307692307692308	0.0650986363667402	Tweaking test s
0.307692307692308	0.0599959526158083	Tweaking test s
0.115384615384615	0.801930515352436	Convert to mode
0.115384615384615	0.0642854349417133	Convert to mode
0.115384615384615	0.278045672123393	Convert to mode
