x	y	tooltip
0.884615384615385	0.954545454545455	Add simplify ar
0.884615384615385	0.133682801621732	Add simplify ar
0.884615384615385	0.0589195207515815	Add simplify ar
0.692307692307692	0.880843625118435	News tweaking
0.692307692307692	0.0864100825932881	News tweaking
0.692307692307692	0.102272083188114	News tweaking
0.5	0.781716426754595	Style tweaks to
0.5	0.264624688288811	Style tweaks to
0.5	0.174529102010017	Style tweaks to
0.307692307692308	0.747951965509217	Tweaking test s
0.307692307692308	0.0665001390192227	Tweaking test s
0.307692307692308	0.0626974634608222	Tweaking test s
0.115384615384615	0.773218631997258	Convert to mode
0.115384615384615	0.0454545454545451	Convert to mode
0.115384615384615	0.0897778722206196	Convert to mode
