x	y	tooltip
0.884615384615385	0.878729105451413	Add simplify ar
0.884615384615385	0.0767529158058781	Add simplify ar
0.884615384615385	0.0454545454545456	Add simplify ar
0.692307692307692	0.857525526243068	News tweaking
0.692307692307692	0.0883988210528855	News tweaking
0.692307692307692	0.0481100126423335	News tweaking
0.5	0.872374055433003	Style tweaks to
0.5	0.0776012597656815	Style tweaks to
0.5	0.0705660286434052	Style tweaks to
0.307692307692308	0.83662564413276	Tweaking test s
0.307692307692308	0.0526202910321766	Tweaking test s
0.307692307692308	0.0758794729123524	Tweaking test s
0.115384615384615	0.954545454545454	Convert to mode
0.115384615384615	0.189429558964047	Convert to mode
0.115384615384615	0.0647782145271126	Convert to mode
