x	y	tooltip
0.884615384615385	0.954545454545454	Add simplify ar
0.884615384615385	0.0567489966396496	Add simplify ar
0.884615384615385	0.156916495993975	Add simplify ar
0.692307692307692	0.12236737162159	News tweaking
0.692307692307692	0.136241512001208	News tweaking
0.692307692307692	0.0598586364784454	News tweaking
0.5	0.0792196761245652	Style tweaks to
0.5	0.150570905994112	Style tweaks to
0.5	0.0707340446349304	Style tweaks to
0.307692307692308	0.0701954375882531	Tweaking test s
0.307692307692308	0.0493772368722914	Tweaking test s
0.307692307692308	0.0468212816636874	Tweaking test s
0.115384615384615	0.0893638824411786	Convert to mode
0.115384615384615	0.052571327434923	Convert to mode
0.115384615384615	0.0454545454545454	Convert to mode
