x	y	tooltip
0.884615384615385	0.634756520391036	Add simplify ar
0.884615384615385	0.227098107672013	Add simplify ar
0.884615384615385	0.556261651800681	Add simplify ar
0.692307692307692	0.954545454545455	News tweaking
0.692307692307692	0.138529031348136	News tweaking
0.692307692307692	0.0637149797685656	News tweaking
0.5	0.621727211722348	Style tweaks to
0.5	0.0741958869994778	Style tweaks to
0.5	0.134189659646623	Style tweaks to
0.307692307692308	0.689146048587904	Tweaking test s
0.307692307692308	0.114117733534594	Tweaking test s
0.307692307692308	0.0454545454545455	Tweaking test s
0.115384615384615	0.579344646668619	Convert to mode
0.115384615384615	0.17543794353332	Convert to mode
0.115384615384615	0.0481410008501515	Convert to mode
