x	y	tooltip	PANEL
0.934782608695652	0.933810167280183	Add simplify ar	1
0.934782608695652	0.231667923265683	Add simplify ar	1
0.934782608695652	0.0454545454545453	Add simplify ar	1
0.826086956521739	0.870178350979053	News tweaking	1
0.826086956521739	0.0865574033705296	News tweaking	1
0.826086956521739	0.199729910743108	News tweaking	1
0.717391304347826	0.858293525436727	Style tweaks to	1
0.717391304347826	0.0919777146889597	Style tweaks to	1
0.717391304347826	0.0832311118571486	Style tweaks to	1
0.608695652173913	0.806220923019229	Tweaking test s	1
0.608695652173913	0.134200564430968	Tweaking test s	1
0.608695652173913	0.18639106072489	Tweaking test s	1
0.5	0.878200748569975	Convert to mode	1
0.5	0.087458449426053	Convert to mode	1
0.5	0.123267310891205	Convert to mode	1
0.391304347826087	0.872600789439853	Implement str_t	1
0.391304347826087	0.204145317114879	Implement str_t	1
0.391304347826087	0.0820998920428933	Implement str_t	1
0.282608695652174	0.837869814844861	Merge branch 'm	1
0.282608695652174	0.0946752388614144	Merge branch 'm	1
0.282608695652174	0.198155185393735	Merge branch 'm	1
0.173913043478261	0.873799377183493	Merge pull requ	1
0.173913043478261	0.132050404684766	Merge pull requ	1
0.173913043478261	0.255131611671045	Merge pull requ	1
0.0652173913043478	0.954545454545455	Fix existing pa	1
0.0652173913043478	0.101633784567467	Fix existing pa	1
0.0652173913043478	0.0840058430450754	Fix existing pa	1
0.173913043478261	0.853757418191475	Merge pull requ	1
0.173913043478261	0.085372850612178	Merge pull requ	1
0.173913043478261	0.188445782571131	Merge pull requ	1
0.934782608695652	0.954545454545454	Add simplify ar	2
0.934782608695652	0.127917341755273	Add simplify ar	2
0.934782608695652	0.0577690140570645	Add simplify ar	2
0.826086956521739	0.91292589947375	News tweaking	2
0.826086956521739	0.0918476695667318	News tweaking	2
0.826086956521739	0.0842611044845369	News tweaking	2
0.717391304347826	0.946642275190166	Style tweaks to	2
0.717391304347826	0.0911444205563034	Style tweaks to	2
0.717391304347826	0.0524231038306064	Style tweaks to	2
0.608695652173913	0.873431313273383	Tweaking test s	2
0.608695652173913	0.0507517457928353	Tweaking test s	2
0.608695652173913	0.0722571614190892	Tweaking test s	2
0.5	0.88001932564813	Convert to mode	2
0.5	0.0822609547016307	Convert to mode	2
0.5	0.170361920557826	Convert to mode	2
0.391304347826087	0.928424777015265	Implement str_t	2
0.391304347826087	0.0954308907151039	Implement str_t	2
0.391304347826087	0.0464470094259721	Implement str_t	2
0.282608695652174	0.87781520320852	Merge branch 'm	2
0.282608695652174	0.115395856128039	Merge branch 'm	2
0.282608695652174	0.055546625409391	Merge branch 'm	2
0.173913043478261	0.888826682302541	Merge pull requ	2
0.173913043478261	0.0956592183158922	Merge pull requ	2
0.173913043478261	0.0463830776977514	Merge pull requ	2
0.0652173913043478	0.90096153319244	Fix existing pa	2
0.0652173913043478	0.0797889278770953	Fix existing pa	2
0.0652173913043478	0.0475277600697039	Fix existing pa	2
0.173913043478261	0.891362640855297	Merge pull requ	2
0.173913043478261	0.163557758054332	Merge pull requ	2
0.173913043478261	0.0454545454545456	Merge pull requ	2
0.934782608695652	0.797593521394405	Add simplify ar	3
0.934782608695652	0.122713218093077	Add simplify ar	3
0.934782608695652	0.0731758594815352	Add simplify ar	3
0.826086956521739	0.954545454545454	News tweaking	3
0.826086956521739	0.100564973063887	News tweaking	3
0.826086956521739	0.0593674717687703	News tweaking	3
0.717391304347826	0.920289316387239	Style tweaks to	3
0.717391304347826	0.0816318707995813	Style tweaks to	3
0.717391304347826	0.0796618989320807	Style tweaks to	3
0.608695652173913	0.865771274186167	Tweaking test s	3
0.608695652173913	0.217896776261839	Tweaking test s	3
0.608695652173913	0.147893082564588	Tweaking test s	3
0.5	0.77524781456246	Convert to mode	3
0.5	0.111597280137898	Convert to mode	3
0.5	0.0584707628762517	Convert to mode	3
0.391304347826087	0.826836452842636	Implement str_t	3
0.391304347826087	0.130474628481426	Implement str_t	3
0.391304347826087	0.0948107038235575	Implement str_t	3
0.282608695652174	0.813102403690909	Merge branch 'm	3
0.282608695652174	0.0621528447276539	Merge branch 'm	3
0.282608695652174	0.181424419752685	Merge branch 'm	3
0.173913043478261	0.865806120386653	Merge pull requ	3
0.173913043478261	0.0775990038632824	Merge pull requ	3
0.173913043478261	0.170649974562273	Merge pull requ	3
0.0652173913043478	0.75515549536197	Fix existing pa	3
0.0652173913043478	0.125152452127128	Fix existing pa	3
0.0652173913043478	0.0454545454545457	Fix existing pa	3
0.173913043478261	0.835422556642499	Merge pull requ	3
0.173913043478261	0.100441849822168	Merge pull requ	3
0.173913043478261	0.227535235316392	Merge pull requ	3
0.934782608695652	0.954545454545455	Add simplify ar	4
0.934782608695652	0.0458785048775882	Add simplify ar	4
0.934782608695652	0.0454545454545455	Add simplify ar	4
0.826086956521739	0.0756461481128433	News tweaking	4
0.826086956521739	0.0471738682638616	News tweaking	4
0.826086956521739	0.0467141505793873	News tweaking	4
0.717391304347826	0.0477191495939825	Style tweaks to	4
0.717391304347826	0.0462332094663656	Style tweaks to	4
0.717391304347826	0.0457692953312467	Style tweaks to	4
0.608695652173913	0.0535852355716372	Tweaking test s	4
0.608695652173913	0.0496721712926454	Tweaking test s	4
0.608695652173913	0.0458926002354366	Tweaking test s	4
0.5	0.0478432208997588	Convert to mode	4
0.5	0.0459240119815773	Convert to mode	4
0.5	0.0463646017831005	Convert to mode	4
0.391304347826087	0.0469621163290355	Implement str_t	4
0.391304347826087	0.0504309035037665	Implement str_t	4
0.391304347826087	0.0521480718135179	Implement str_t	4
